,casualty_class,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
389,1,2,34,3,0,0,0,0,0,9,1,2
390,1,1,31,3,0,0,0,0,0,9,1,5
391,1,1,20,2,0,0,0,0,0,3,1,2
392,1,2,50,3,0,0,0,0,0,9,1,1
393,3,2,12,3,8,3,0,0,0,0,1,3
394,1,1,26,3,0,0,0,0,0,4,1,3
395,1,2,33,3,0,0,0,0,0,9,1,1
396,1,1,41,2,0,0,0,0,0,3,1,7
397,1,1,47,3,0,0,0,0,0,1,1,3
398,1,1,30,3,0,0,0,0,0,9,1,4
399,1,1,35,3,0,0,0,0,0,9,1,6
400,1,1,49,3,0,0,0,0,0,1,1,5
401,1,1,37,3,0,0,0,0,0,5,1,3
402,1,2,37,3,0,0,0,0,0,9,1,1
403,1,1,32,3,0,0,0,0,0,9,3,10
404,1,1,39,3,0,0,0,0,0,19,1,3
405,1,1,27,3,0,0,0,0,0,9,1,4
406,1,1,18,3,0,0,0,0,0,4,1,3
407,3,2,91,2,4,1,0,0,0,0,1,3
408,1,1,50,3,0,0,0,0,0,9,1,8
409,1,2,34,3,0,0,0,0,0,9,1,4
410,2,2,12,3,0,0,1,0,0,9,1,4
411,1,1,31,3,0,0,0,0,0,9,1,2
412,2,2,29,3,0,0,1,0,0,9,1,1
413,2,2,25,3,0,0,1,0,0,9,1,7
414,1,1,25,3,0,0,0,0,0,3,1,4
415,2,2,21,3,0,0,0,3,0,11,1,9
416,1,1,21,3,0,0,0,0,0,3,1,2
417,3,2,44,3,1,1,0,0,0,0,1,8
418,1,2,34,3,0,0,0,0,0,9,1,5
419,1,1,23,3,0,0,0,0,0,1,1,5
420,3,2,36,2,5,1,0,0,0,0,1,1
421,1,1,26,3,0,0,0,0,0,9,1,5
422,1,2,51,3,0,0,0,0,0,5,1,6
423,1,1,36,3,0,0,0,0,0,1,1,3
424,3,1,40,3,5,1,0,0,0,0,1,2
425,1,1,27,3,0,0,0,0,0,9,1,1
426,3,2,41,3,1,3,0,0,0,0,1,5
427,3,2,9,3,1,3,0,0,0,0,1,5
428,1,1,26,3,0,0,0,0,0,3,1,6
429,1,1,43,3,0,0,0,0,0,3,1,3
430,3,2,60,2,1,3,0,0,0,0,1,3
431,2,1,31,3,0,0,2,0,0,8,1,8
432,1,2,33,3,0,0,0,0,0,9,1,4
433,1,1,48,3,0,0,0,0,0,9,1,4
434,1,1,71,3,0,0,0,0,0,9,1,4
435,2,2,56,3,0,0,0,3,0,11,1,2
436,1,1,65,3,0,0,0,0,0,9,1,6
437,1,1,40,3,0,0,0,0,0,1,1,9
438,1,2,59,3,0,0,0,0,0,9,1,9
439,3,1,14,3,1,3,0,0,0,0,1,10
440,1,1,32,3,0,0,0,0,0,9,1,2
441,1,2,78,3,0,0,0,0,0,9,1,4
442,1,1,45,3,0,0,0,0,0,9,1,3
443,1,1,49,3,0,0,0,0,0,9,1,7
444,1,1,19,3,0,0,0,0,0,4,1,5
445,1,1,53,3,0,0,0,0,0,9,1,4
446,1,1,45,3,0,0,0,0,0,1,1,4
447,1,1,35,3,0,0,0,0,0,3,1,1
448,1,1,32,3,0,0,0,0,0,9,1,2
449,1,1,52,3,0,0,0,0,0,19,1,5
450,1,2,57,3,0,0,0,0,0,9,1,10
451,1,1,58,2,0,0,0,0,0,3,1,4
452,1,2,26,3,0,0,0,0,0,9,1,5
453,1,1,34,3,0,0,0,0,0,3,1,1
454,1,1,36,2,0,0,0,0,0,3,1,5
455,2,2,66,3,0,0,0,3,0,11,1,3
456,1,1,50,3,0,0,0,0,0,8,1,6
457,1,1,19,3,0,0,0,0,0,3,1,4
458,3,2,39,2,5,3,0,0,0,0,1,4
459,1,1,44,3,0,0,0,0,0,9,1,1
460,1,1,45,3,0,0,0,0,0,9,1,2
461,1,2,68,3,0,0,0,0,0,9,1,9
462,1,1,25,3,0,0,0,0,0,11,1,3
463,2,2,53,3,0,0,0,3,0,11,1,2
464,2,1,25,3,0,0,0,4,0,11,1,3
465,2,1,23,3,0,0,0,4,0,11,1,3
466,2,1,30,3,0,0,0,4,0,11,1,3
467,1,1,34,3,0,0,0,0,0,4,1,3
468,1,1,39,3,0,0,0,0,0,5,1,3
469,1,1,37,3,0,0,0,0,0,4,1,3
470,1,1,24,2,0,0,0,0,0,4,1,2
471,1,1,22,3,0,0,0,0,0,3,1,3
472,1,2,30,3,0,0,0,0,0,9,1,2
473,1,1,29,3,0,0,0,0,0,3,1,7
474,1,1,23,3,0,0,0,0,0,19,1,9
475,1,2,80,3,0,0,0,0,0,9,1,3
476,1,1,39,3,0,0,0,0,0,9,1,3
477,3,1,28,3,1,1,0,0,0,0,1,4
478,3,2,21,3,5,3,0,0,0,0,1,4
479,1,1,28,3,0,0,0,0,0,2,1,6
480,1,1,56,3,0,0,0,0,0,4,1,6
481,1,1,20,3,0,0,0,0,0,3,1,7
482,2,1,17,3,0,0,1,0,0,9,1,3
483,1,1,36,3,0,0,0,0,0,3,1,1
484,2,2,67,3,0,0,1,0,0,9,1,6
485,1,1,28,3,0,0,0,0,0,3,1,4
486,1,1,35,3,0,0,0,0,0,3,1,1
487,1,2,31,3,0,0,0,0,0,9,1,2
488,2,1,9,3,0,0,2,0,0,9,1,2
489,3,1,14,3,1,3,0,0,0,0,1,8
490,3,1,60,3,5,1,0,0,0,0,1,1
491,3,1,41,3,8,8,0,0,0,0,1,3
492,1,1,18,3,0,0,0,0,0,3,1,9
493,1,1,47,3,0,0,0,0,0,2,1,3
494,1,1,21,3,0,0,0,0,0,1,1,4
495,2,2,68,3,0,0,0,3,0,11,1,2
496,3,1,52,3,5,3,0,0,0,0,1,6
497,1,1,55,3,0,0,0,0,0,3,1,3
498,1,1,29,3,0,0,0,0,0,1,1,3
499,1,1,52,3,0,0,0,0,0,9,1,4
500,1,1,17,3,0,0,0,0,0,3,1,2
501,1,1,42,3,0,0,0,0,0,1,1,9
502,3,2,48,3,1,3,0,0,0,0,1,5
503,1,1,19,3,0,0,0,0,0,3,1,8
504,1,2,40,3,0,0,0,0,0,9,1,5
505,1,1,44,2,0,0,0,0,0,5,1,1
506,1,1,58,3,0,0,0,0,0,9,1,2
507,1,1,35,3,0,0,0,0,0,9,1,2
508,3,1,3,3,4,2,0,0,0,0,1,2
509,2,2,14,3,0,0,2,0,0,9,1,1
510,3,1,29,3,5,1,0,0,0,0,1,3
511,1,1,19,3,0,0,0,0,0,9,1,1
512,2,1,19,3,0,0,1,0,0,9,1,2
513,1,1,18,3,0,0,0,0,0,3,1,2
514,3,1,15,2,4,1,0,0,0,0,1,3
515,3,1,60,2,1,1,0,0,0,0,2,9
516,1,1,59,3,0,0,0,0,0,9,1,2
